,0,1
503,1064,552
504,679,499
505,625,469
506,812,467
507,1132,785
508,1252,464
509,579,533
510,905,503
511,789,415
512,749,435
513,866,447
514,932,721
515,1417,472
516,974,585
517,1719,589
518,1069,557
519,761,510
520,795,1002
521,625,470
522,578,536
523,1133,792
524,679,501
525,935,729
526,1244,462
527,813,467
528,907,503
529,789,416
530,932,729
531,1406,472
532,1672,576
533,1080,565
534,762,515
535,977,586
536,815,470
537,624,473
538,677,504
539,1147,803
540,575,541
541,907,505
542,868,447
543,789,417
544,1231,458
545,1393,464
546,941,737
547,703,415
548,940,743
549,1654,571
550,574,543
551,980,588
552,762,516
553,623,474
554,677,506
555,814,472
556,1087,572
557,1150,808
558,944,751
559,1382,463
560,868,447
561,1152,808
562,944,754
563,1633,564
564,1093,577
565,981,589
566,677,509
567,762,518
568,622,475
569,815,473
570,948,759
571,571,545
572,790,417
573,841,419
574,869,449
575,1157,814
576,1378,461
577,911,506
578,1099,580
579,763,520
580,622,477
581,815,475
582,573,547
583,1615,558
584,677,510
585,950,763
586,1156,818
587,982,593
588,911,507
589,791,418
590,702,416
591,870,450
592,1580,548
593,569,551
594,675,515
595,1112,592
596,763,523
597,815,476
598,621,479
599,870,450
600,985,595
601,1167,831
602,653,420
603,791,419
604,958,783
605,913,509
606,845,422
607,959,784
608,1167,830
609,1120,598
610,674,517
611,1563,543
612,621,480
613,763,523
614,816,477
615,567,552
616,985,598
617,965,792
618,1175,836
619,844,423
620,914,512
621,1177,838
622,963,793
623,871,451
624,913,510
625,986,599
626,1126,601
627,1547,537
628,674,518
629,620,481
630,817,478
631,1179,846
632,763,527
633,913,510
634,566,557
635,969,803
636,652,420
637,845,423
638,969,804
639,871,451
640,1133,608
641,987,600
642,1532,533
643,915,512
644,764,529
645,1183,850
646,673,520
647,818,480
648,566,559
649,973,807
650,620,482
651,873,452
652,1148,621
653,764,532
654,990,604
655,1504,524
656,618,485
657,1199,863
658,561,564
659,980,831
660,818,484
661,672,523
662,917,513
663,1155,627
664,993,605
665,617,486
666,765,534
667,672,528
668,1204,872
669,1489,519
670,559,567
671,986,843
672,819,481
673,917,514
674,874,452
675,1166,635
676,559,570
677,993,855
678,765,536
679,1476,515
680,1210,878
681,617,488
682,821,485
683,672,529
684,918,515
685,994,608
686,875,456
687,1174,641
688,765,537
689,558,573
690,996,608
691,616,489
692,672,532
693,1219,886
694,821,486
695,875,456
696,999,866
697,1462,510
698,918,515
699,850,427
700,1195,656
701,765,541
702,670,536
703,1000,613
704,554,578
705,614,492
706,823,488
707,1008,891
708,1438,504
709,1230,902
710,751,446
711,920,517
712,877,457
713,1205,666
714,765,543
715,551,581
716,670,538
717,613,492
718,823,490
719,1238,908
720,1016,904
721,1001,615
722,1426,501
723,1889,618
724,878,458
725,751,446
726,920,518
727,1215,674
728,1245,916
729,669,542
730,1003,618
731,766,545
732,613,494
733,823,491
734,1877,617
735,549,583
736,1023,918
737,879,458
738,1415,496
739,751,446
740,797,427
741,851,429
742,921,519
743,767,548
744,1228,684
745,1865,609
746,669,544
747,1250,924
748,549,586
749,1003,620
750,1028,931
751,1406,494
752,823,492
753,613,495
754,752,448
755,798,428
756,879,459
757,851,430
758,921,519
759,767,551
760,1044,960
761,1253,704
762,1834,594
763,669,548
764,1264,946
765,546,593
766,1008,623
767,613,499
768,824,495
769,881,459
770,923,521
771,1384,487
772,852,430
773,798,429
774,752,450
775,1265,714
776,1051,968
777,1274,954
778,767,552
779,668,551
780,1809,589
781,1012,626
782,611,501
783,543,595
784,826,496
785,923,523
786,799,428
787,752,451
788,1374,484
789,853,430
790,881,460
791,1055,971
792,1278,725
793,766,555
794,1789,583
795,1281,967
796,538,599
797,610,502
798,666,553
799,1014,628
800,828,498
801,799,430
802,1365,481
803,924,523
804,853,431
805,752,451
806,882,460
807,766,557
808,1293,737
809,1065,978
810,1292,976
811,539,602
812,1765,577
813,666,557
814,610,503
815,1016,631
816,829,499
817,1355,479
818,799,430
819,926,526
820,752,451
821,853,432
822,701,429
823,882,462
824,1308,981
825,1725,565
826,1069,991
827,1325,760
828,768,562
829,664,562
830,536,609
831,608,506
832,830,502
833,1018,635
834,800,431
835,855,433
836,885,462
837,928,527
838,753,452
839,700,430
840,648,435
841,768,565
842,1342,777
843,664,566
844,1707,560
845,1318,986
846,1079,1000
847,608,507
848,1021,637
849,830,504
850,856,434
851,801,432
852,533,612
853,753,452
854,927,528
855,646,435
856,701,430
857,1329,470
858,885,463
859,534,612
860,768,567
861,664,569
862,1360,792
863,1323,989
864,1690,554
865,608,508
866,831,504
867,1023,640
868,801,433
869,531,616
870,1082,1011
871,647,435
872,928,529
873,753,452
874,857,435
875,700,431
876,661,413
877,886,464
878,1671,549
879,663,572
880,1330,993
881,768,569
882,832,505
883,1377,807
884,1089,1015
885,803,432
886,607,509
887,928,529
888,1026,642
889,530,619
890,646,436
891,660,414
892,1311,465
893,700,431
894,754,452
895,887,465
896,528,620
897,662,577
898,1423,843
899,1337,1000
900,770,573
901,1029,646
902,1638,541
903,832,509
904,888,466
905,528,626
906,803,433
907,605,513
908,1297,461
909,754,457
910,857,437
911,660,415
912,931,532
913,644,437
914,699,432
915,1347,1006
916,1445,861
917,770,576
918,1622,536
919,660,582
920,604,514
921,1031,650
922,804,434
923,834,510
924,889,470
925,932,532
926,523,631
927,755,457
928,1291,458
929,659,415
930,858,437
931,1608,531
932,770,579
933,1359,1012
934,1468,882
935,659,584
936,603,516
937,835,513
938,522,633
939,804,435
940,1282,456
941,1033,654
942,754,459
943,1121,1052
944,932,533
945,659,416
946,889,467
947,1498,904
948,771,581
949,1593,528
950,836,514
951,1374,1016
952,603,518
953,659,588
954,1036,655
955,804,436
956,754,461
957,518,639
958,660,416
959,860,437
960,890,470
961,699,435
962,936,534
963,643,442
964,1275,453
965,1126,1062
966,518,638
967,1558,954
968,773,587
969,837,518
970,1563,519
971,658,594
972,600,522
973,1383,1026
974,515,646
975,890,471
976,754,463
977,806,437
978,1040,660
979,642,442
980,936,536
981,861,439
982,699,436
983,660,417
984,1260,449
985,1594,973
986,773,590
987,655,600
988,600,523
989,837,519
990,1389,1030
991,755,464
992,1551,516
993,512,650
994,806,438
995,936,538
996,642,443
997,861,441
998,891,472
999,1255,447
1000,698,437
1001,659,417
1002,1044,663
1003,1045,663
1004,838,521
1005,772,592
1006,1645,987
1007,654,603
1008,937,537
1009,599,524
1010,1538,512
1011,641,444
1012,1395,1038
1013,755,464
1014,861,442
1015,806,438
1016,1250,446
1017,510,652
1018,699,446
1019,659,419
1020,1046,667
1021,1046,668
1022,510,655
1023,892,472
1024,654,606
1025,839,521
1026,1665,1000
1027,772,595
1028,1525,509
1029,598,527
1030,508,658
1031,1403,1042
1032,861,442
1033,755,465
1034,642,445
1035,937,538
1036,806,441
1037,1243,444
1038,659,419
1039,698,437
1040,751,430
1041,892,472
1042,1049,668
1043,653,612
1044,774,601
1045,596,531
1046,841,527
1047,940,541
1048,893,475
1049,1744,1028
1050,1501,502
1051,641,448
1052,502,668
1053,864,442
1054,699,444
1055,755,466
1056,807,442
1057,1053,675
1058,752,430
1059,659,421
1060,1429,1055
1061,1053,675
1062,774,604
1063,651,617
1064,595,533
1065,842,529
1066,941,543
1067,499,672
1068,1491,499
1069,640,448
1070,1057,678
1071,894,474
1072,864,442
1073,699,445
1074,755,466
1075,807,442
1076,659,422
1077,774,607
1078,649,628
1079,1479,495
1080,594,534
1081,842,530
1082,863,443
1083,639,449
1084,497,677
1085,699,443
1086,941,543
1087,1058,680
1088,808,441
1089,755,467
1090,1220,437
1091,895,474
1092,752,431
1093,497,676
1094,774,609
1095,648,629
1096,593,537
1097,843,532
1098,494,680
1099,941,544
1100,639,449
1101,1063,685
1102,1467,492
1103,699,443
1104,809,441
1105,863,442
1106,895,474
1107,756,470
1108,1218,436
1109,752,431
1110,775,616
1111,647,635
1112,845,536
1113,486,691
1114,592,541
1115,1448,488
1116,942,546
1117,638,450
1118,1068,692
1119,896,477
1120,809,442
1121,756,472
1122,866,444
1123,698,446
1124,752,432
1125,1891,602
1126,775,619
1127,646,638
1128,845,537
1129,591,543
1130,484,697
1131,945,547
1132,897,477
1133,1437,485
1134,809,442
1135,1070,694
1136,636,452
1137,757,473
1138,868,444
1139,752,432
1140,698,446
1141,890,415
1142,1882,607
1143,644,646
1144,775,622
1145,589,544
1146,846,538
1147,1429,481
1148,1872,593
1149,480,702
1150,945,547
1151,810,443
1152,897,478
1153,757,473
1154,636,452
1155,868,445
1156,1073,695
1157,698,447
1158,752,433
1159,892,416
1160,644,648
1161,778,627
1162,477,708
1163,589,546
1164,945,548
1165,847,542
1166,1862,591
1167,898,479
1168,1420,478
1169,810,444
1170,756,474
1171,636,453
1172,868,446
1173,1079,703
1174,698,448
1175,752,433
1176,777,633
1177,1841,578
1178,588,550
1179,470,719
1180,850,546
1181,640,664
1182,1402,474
1183,899,480
1184,1083,709
1185,811,446
1186,635,456
1187,947,551
1188,697,449
1189,868,448
1190,752,435
1191,756,476
1192,1859,696
1193,778,637
1194,639,667
1195,852,548
1196,1823,573
1197,584,552
1198,465,726
1199,811,447
1200,947,548
1201,899,481
1202,869,448
1203,633,457
1204,1392,473
1205,752,435
1206,697,450
1207,1086,714
1208,654,429
1209,954,562
1210,1842,685
1211,460,732
1212,778,641
1213,1806,566
1214,853,550
1215,584,555
1216,638,674
1217,812,448
1218,870,448
1219,949,550
1220,1825,673
1221,633,458
1222,752,436
1223,1384,470
1224,696,451
1225,901,484
1226,758,477
1227,654,431
1228,1090,717
1229,779,644
1230,584,557
1231,1789,563
1232,458,737
1233,852,552
1234,637,673
1235,813,449
1236,871,449
1237,949,553
1238,758,478
1239,697,452
1240,900,420
1241,634,459
1242,1377,469
1243,753,436
1244,1091,722
1245,653,432
1246,1808,661
1247,1093,722
1248,901,481
1249,781,652
1250,582,562
1251,1755,554
1252,856,557
1253,449,750
1254,633,686
1255,759,480
1256,872,452
1257,813,452
1258,904,487
1259,653,433
1260,632,460
1261,954,557
1262,697,456
1263,1361,463
1264,901,422
1265,752,436
1266,1739,637
1267,1745,638
1268,1101,731
1269,781,656
1270,1742,550
1271,445,760
1272,631,691
1273,580,564
1274,1104,735
1275,856,558
1276,872,452
1277,814,451
1278,697,457
1279,653,433
1280,952,557
1281,759,481
1282,1354,461
1283,905,487
1284,632,463
1285,1714,628
1286,1725,546
1287,781,660
1288,441,764
1289,578,566
1290,1105,738
1291,857,561
1292,814,451
1293,628,696
1294,697,457
1295,1346,459
1296,872,453
1297,1688,619
1298,652,434
1299,759,482
1300,952,558
1301,632,464
1302,905,487
1303,1712,543
1304,783,665
1305,436,773
1306,860,563
1307,628,704
1308,576,569
1309,1108,744
1310,815,452
1311,873,452
1312,758,484
1313,697,458
1314,651,435
1315,906,488
1316,955,559
1317,632,465
1318,1337,458
1319,1663,609
1320,1664,610
1321,783,674
1322,1685,535
1323,427,788
1324,575,574
1325,625,719
1326,1117,751
1327,816,456
1328,860,567
1329,873,455
1330,956,561
1331,759,486
1332,907,489
1333,651,436
1334,697,460
1335,797,431
1336,910,428
1337,754,442
1338,1614,594
1339,784,678
1340,575,577
1341,1671,531
1342,423,794
1343,1122,758
1344,861,571
1345,624,722
1346,759,487
1347,816,457
1348,874,455
1349,907,489
1350,697,461
1351,957,562
1352,650,437
1353,1594,587
1354,798,431
1355,1318,452
1356,628,470
1357,784,680
1358,418,806
1359,573,578
1360,1658,528
1361,817,457
1362,1127,763
1363,759,488
1364,874,455
1365,697,462
1366,628,470
1367,622,728
1368,863,573
1369,962,565
1370,911,430
1371,1573,579
1372,651,438
1373,798,431
1374,1310,450
1375,1573,579
1376,910,489
1377,864,575
1378,785,686
1379,573,580
1380,413,814
1381,621,735
1382,1644,526
1383,1129,765
1384,817,456
1385,759,489
1386,874,456
1387,627,470
1388,697,463
1389,962,565
1390,1305,448
1391,649,438
1392,912,430
1393,754,443
1394,1553,572
1395,911,489
1396,787,695
1397,570,586
1398,400,831
1399,866,579
1400,1621,519
1401,817,457
1402,760,491
1403,875,456
1404,615,749
1405,696,464
1406,964,566
1407,1135,777
1408,626,473
1409,912,491
1410,754,444
1411,1513,559
1412,788,701
1413,867,583
1414,395,841
1415,569,589
1416,1610,517
1417,760,492
1418,1145,779
1419,818,458
1420,612,758
1421,696,466
1422,875,457
1423,624,473
1424,966,569
1425,918,432
1426,647,442
1427,754,444
1428,1497,555
1429,913,491
1430,789,706
1431,868,585
1432,1599,514
1433,568,592
1434,761,493
1435,611,770
1436,388,848
1437,1149,790
1438,819,459
1439,876,457
1440,623,475
1441,967,570
1442,696,466
1443,648,442
1444,913,492
1445,1481,549
1446,913,493
1447,1149,789
1448,870,589
1449,789,712
1450,761,494
1451,1586,510
1452,381,861
1453,564,594
1454,967,571
1455,820,462
1456,914,493
1457,609,774
1458,877,458
1459,623,476
1460,696,467
1461,1152,792
1462,646,443
1463,1463,543
1464,1466,543
1465,1154,793
1466,791,721
1467,872,595
1468,561,600
1469,604,792
1470,1568,505
1471,366,881
1472,820,463
1473,761,499
